date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-05-18,am,31,96,0.5698,0.33170098,0.604,0.426,29.970000000000006,658966,-2550.1096000000002,0,0,chunk_028.csv
2022-05-18,ar,747,19604,18.367400000000007,16.7933942,5.533,1.8440000000000003,739.6239999999999,27847036,-806168.4432,0,0,chunk_028.csv
2022-05-18,bg,47,48,-2.8908000000000005,3.4415144000000004,0.543,1.7150000000000003,44.742,59232,-15132.021600000002,0,0,chunk_028.csv
2022-05-18,bn,297,25,-3.2157,5.23496947,0.937,2.1590000000000003,293.904,127509075,1522911.6578000002,0,0,chunk_028.csv
2022-05-18,ca,345,4113,-29.763299999999926,32.78897508999992,7.124999999999997,29.97699999999998,307.89499999999947,9431333,-1485932.3621000005,0,0,chunk_028.csv
2022-05-18,ckb,8,0,0.0,0.0,0.0,0.0,8.0,5109818,0.0,0,0,chunk_028.csv
2022-05-18,cs,214,10819,11.662399999999996,22.599487400000005,8.931000000000003,4.773,200.30199999999996,285810,10408.452100000004,0,0,chunk_028.csv
2022-05-18,cy,38,220,14.3289,14.277095310000005,3.8860000000000006,0.628,33.48600000000002,208316,160601.05590000004,0,0,chunk_028.csv
2022-05-18,da,337,46864,-8.017799999999989,33.58644448000002,8.168999999999999,13.118999999999998,315.71100000000047,1471153,9737.287500000008,0,0,chunk_028.csv
2022-05-18,de,14880,753710,-6324.38190000032,5088.7207818499855,106.8599999999998,1667.0469999999953,13106.098999999827,245712350,-93616269.41469967,0,0,chunk_028.csv
2022-05-18,el,1209,11903,29.57849999999998,29.955991350000012,12.26,4.534999999999999,1192.2050000000006,13073254,687669.9038999999,0,0,chunk_028.csv
2022-05-18,en,209928,68026060,-12201.697200000031,64640.70001172439,17836.800000002357,19602.523999996698,172489.48100002325,2009815636,-160698666.5390027,0,0,chunk_028.csv
2022-05-18,es,10080,435904,-283.3837999999942,729.2716708600071,158.57699999999915,218.97600000000133,9702.288999999946,495400592,-11947543.544400027,0,0,chunk_028.csv
2022-05-18,et,204,2653,7.5223,16.08406579,5.7540000000000004,3.2909999999999995,194.957,653853,26183.7598,0,0,chunk_028.csv
2022-05-18,eu,53,7,3.5296000000000003,4.22869576,1.8560000000000003,1.141,50.00299999999999,67905,2774.0722,0,0,chunk_028.csv
2022-05-18,fa,99,498,-0.4668000000000001,2.15914926,0.323,0.469,98.20800000000001,2500335,-1102.2681000000005,0,0,chunk_028.csv
2022-05-18,fi,1486,29032,-8.208099999999996,61.700745570000045,21.084999999999997,24.647999999999996,1440.2680000000016,7496040,45111.53129999997,0,0,chunk_028.csv
2022-05-18,fr,18573,3128388,445.2505999999571,2030.9837865200022,467.7440000000048,367.18700000001587,17738.056000000397,355945446,1825259.7612000227,0,0,chunk_028.csv
2022-05-18,gu,108,51,-5.4045000000000005,3.3910411500000004,0.076,1.6989999999999996,106.22500000000001,19633440,-480494.72070000006,0,0,chunk_028.csv
2022-05-18,hi,943,1564,-7.335400000000001,28.18170725999998,6.280000000000002,7.759999999999999,928.9620000000003,578972492,-27869210.742000006,0,0,chunk_028.csv
2022-05-18,ht,103,213,-21.006899999999998,21.33549119,2.627,14.441999999999998,85.92799999999993,96226,13338.094200000007,0,0,chunk_028.csv
2022-05-18,hu,31,30,4.0449,2.54861615,1.309,0.201,29.49,130842,11233.870199999996,0,0,chunk_028.csv
2022-05-18,in,650,581,16.842900000000004,30.614714829999976,19.850999999999996,14.978000000000002,615.177,75950559,10857.006699999998,0,0,chunk_028.csv
2022-05-18,is,17,0,0.8555,0.73188025,0.583,0.0,16.417,5894,53.8965,0,0,chunk_028.csv
2022-05-18,it,20363,1447638,1504.1678999999651,1573.3453585300185,545.9230000000035,184.43799999999806,19632.613000000485,234420059,14114912.1644,0,0,chunk_028.csv
2022-05-18,iw,67,1154,-0.34,0.11560000000000002,0.0,0.146,66.854,86111,-1933.5800000000002,0,0,chunk_028.csv
2022-05-18,ja,2942,41949,238.93780000000172,411.62950463999925,207.9450000000003,121.10499999999992,2612.9539999999993,16652072,903778.1382999993,0,0,chunk_028.csv
2022-05-18,ka,33,20,0.1637,0.23364769000000002,0.065,0.067,32.868,41800,-2510.726,0,0,chunk_028.csv
2022-05-18,kn,45,2,-0.7764,1.01885168,0.365,0.5149999999999999,44.120000000000005,2387782,62397.1752,0,0,chunk_028.csv
2022-05-18,ko,256,196943,188.0867000000005,167.8126843899996,75.5,0.365,180.13399999999928,1113218,316945.86320000025,0,0,chunk_028.csv
2022-05-18,lt,31,0,11.136400000000002,6.294875240000003,6.634000000000002,0.0,24.36600000000001,27346,1470.541,0,0,chunk_028.csv
2022-05-18,lv,54,47,-14.206499999999991,10.304343329999998,0.622,8.238,45.13999999999998,180994,-2026.7571000000005,0,0,chunk_028.csv
2022-05-18,ml,95,0,-2.222,1.70492146,0.0,0.6859999999999999,94.31400000000001,1190266,-2333.958,0,0,chunk_028.csv
2022-05-18,mr,78,37,-1.9230000000000003,4.09135448,0.719,1.4489999999999998,75.83199999999998,19717781,-774182.0281000001,0,0,chunk_028.csv
2022-05-18,my,3,4,0.3802,0.14455204,0.097,0.0,2.903,1036456,6.4634,0,0,chunk_028.csv
2022-05-18,ne,44,0,0.2732,0.07463824,0.049,0.0,43.951,126840,7.6495999999999995,0,0,chunk_028.csv
2022-05-18,nl,1486,114560,-142.12780000000004,132.16509756000013,12.853000000000021,42.25600000000001,1430.8949999999975,3428939,-798409.9089000013,0,0,chunk_028.csv
