date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-06-25,am,21,124,0.0,0.0,0.0,0.0,21.0,1752367,0.0,0,0,chunk_031.csv
2022-06-25,ar,468,4292,-6.2896,7.375047600000002,1.0219999999999998,3.2670000000000003,463.712,18912849,-68404.4294,0,0,chunk_031.csv
2022-06-25,bg,51,189,-0.4003,0.16024009,0.0,0.23,50.769999999999996,92447,-423.5174,0,0,chunk_031.csv
2022-06-25,bn,413,69,0.6315999999999999,2.2103213000000004,0.8570000000000001,0.657,411.486,187977337,2743495.1644,0,0,chunk_031.csv
2022-06-25,ca,119,700,-12.810099999999998,20.264033350000005,5.556,7.115999999999999,106.32899999999997,278458,-57678.31750000003,0,0,chunk_031.csv
2022-06-25,ckb,6,4,0.0,0.0,0.0,0.0,6.0,2096194,0.0,0,0,chunk_031.csv
2022-06-25,cs,324,5908,16.089399999999987,35.51594763999998,9.738999999999999,5.350000000000001,308.90899999999993,439228,15352.047199999997,0,0,chunk_031.csv
2022-06-25,cy,15,7,0.20899999999999996,1.46138974,0.548,0.577,13.875,12140,-393.2374,0,0,chunk_031.csv
2022-06-25,da,132,471,-8.506499999999997,15.82648443,3.036,8.968,119.99499999999993,308910,9335.868199999997,0,0,chunk_031.csv
2022-06-25,de,10797,849872,-4266.643200000011,3423.363139879869,150.06699999999893,1173.9649999999897,9473.00499999997,131881056,-38486370.90329973,0,0,chunk_031.csv
2022-06-25,el,778,8680,30.59489999999999,45.278032629999934,12.963000000000006,7.84400000000001,757.1929999999988,3598254,213523.19090000002,0,0,chunk_031.csv
2022-06-25,en,117331,54435720,-7804.492099999996,37276.43051801797,10118.979999999307,11398.654999998955,95814.86099997815,953919015,-111740050.86779986,0,0,chunk_031.csv
2022-06-25,es,4957,213679,-91.55310000000051,480.3202845499957,97.14099999999934,119.89400000000036,4739.933999999923,141549866,-3694889.560599996,0,0,chunk_031.csv
2022-06-25,et,221,3796,-15.041599999999999,24.445410980000016,6.931999999999999,11.472,202.59600000000003,1511850,-535465.8269,0,0,chunk_031.csv
