date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-05-30,am,6,17,0.0,0.0,0.0,0.0,6.0,447635,0.0,0,0,chunk_029.csv
2022-05-30,ar,389,3268,1.3878000000000006,6.029910119999999,2.079,1.116,385.803,20214001,7016.772299999999,0,0,chunk_029.csv
2022-05-30,bg,40,9,0.36160000000000003,0.97581746,0.375,0.144,39.481,29897,-291.8958,0,0,chunk_029.csv
2022-05-30,bn,300,36,-3.9777000000000005,2.22758081,0.102,1.327,298.571,164872733,-3290897.5409999997,0,0,chunk_029.csv
2022-05-30,ca,222,5232,-31.700599999999994,42.30359357999997,5.569,20.58200000000002,195.85000000000005,12788057,-597856.5595000001,0,0,chunk_029.csv
2022-05-30,ckb,2,0,0.0,0.0,0.0,0.0,2.0,2053175,0.0,0,0,chunk_029.csv
2022-05-30,cs,310,6778,-7.6921,15.998420210000004,4.388,5.404000000000001,300.21000000000004,769256,-53951.3828,0,0,chunk_029.csv
2022-05-30,cy,34,70,-0.2732,0.07463824,0.0,0.174,33.826,163371,-216.1012,0,0,chunk_029.csv
2022-05-30,da,159,111,-19.9857,24.272734989999996,4.734999999999999,14.149999999999988,140.1179999999999,673912,-12634.4099,0,0,chunk_029.csv
2022-05-30,de,14117,2063993,-6184.9711000004345,5176.498039710234,118.38499999999972,1632.6129999999723,12366.046999999911,153970353,-51264771.9426997,0,0,chunk_029.csv
2022-05-30,el,977,5226,54.63360000000012,67.17381641999997,23.622000000000014,12.574999999999983,940.8019999999998,10334239,887341.1671000004,0,0,chunk_029.csv
2022-05-30,en,156596,45209831,-11558.579499999005,49841.986121040645,13207.273999999805,15086.240000000045,128302.69600000136,1541006814,-201617158.9182991,0,0,chunk_029.csv
2022-05-30,es,6741,257359,-351.36689999999834,592.2620907700032,99.93900000000002,182.56699999999933,6458.487999999941,269396158,-2733124.5185000063,0,0,chunk_029.csv
2022-05-30,et,161,1969,-1.2946000000000006,14.586629339999995,4.334,5.8790000000000004,150.787,6619539,259012.44019999995,0,0,chunk_029.csv
2022-05-30,eu,53,15,0.5773,0.24174729000000003,0.34099999999999997,0.117,52.541999999999994,33599,8095.7875,0,0,chunk_029.csv
2022-05-30,fa,82,112,-0.44199999999999995,1.37132698,0.357,0.486,81.157,124532,3601.6965,0,0,chunk_029.csv
2022-05-30,fi,290,1029,-3.276099999999999,23.219323449999987,4.945000000000001,9.683999999999996,275.3719999999998,1094089,33453.9194,0,0,chunk_029.csv
2022-05-30,fr,14478,958075,-2.721299999999783,897.8731263300027,208.48999999999938,200.39399999999762,14069.139999999878,358175188,-4312641.328900005,0,0,chunk_029.csv
2022-05-30,gu,181,108,-2.1435000000000004,3.229830550000001,0.5650000000000001,1.2340000000000002,179.201,44777914,-791914.9201,0,0,chunk_029.csv
2022-05-30,hi,819,5664,0.21649999999999872,32.97104077,7.976000000000002,8.701000000000006,802.3250000000005,303169826,6941804.157300001,0,0,chunk_029.csv
2022-05-30,ht,105,141,-35.344900000000024,30.941843730000002,2.9620000000000006,20.773999999999983,81.26399999999995,1946639,-564802.0853999996,0,0,chunk_029.csv
2022-05-30,hu,27,29,1.4032000000000002,0.9853504,0.414,0.06,26.526,11190,1784.4152000000001,0,0,chunk_029.csv
2022-05-30,hy,1,4,-0.25,0.0625,0.0,0.071,0.929,31,-7.75,0,0,chunk_029.csv
2022-05-30,in,622,2726,12.132100000000023,35.99793310999998,13.640999999999996,9.567000000000002,598.7910000000004,79727628,-294861.9149,0,0,chunk_029.csv
2022-05-30,is,25,2,-0.4215,0.17766225,0.117,0.217,24.667,5778,-534.8835,0,0,chunk_029.csv
