date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-03-14,am,30,134,0.0,0.0,0.0,0.0,30.0,698073,0.0,0,0,chunk_037.csv
2022-03-14,ar,1537,15207,35.81690000000001,46.547180950000005,15.78,6.839,1514.3779999999992,67194960,50720.85430000002,0,0,chunk_037.csv
2022-03-14,bg,19,291,-0.5994,0.3592803600000001,0.0,0.358,18.642,20231,-1276.722,0,0,chunk_037.csv
2022-03-14,bn,119,23,-20.392999999999986,12.760010819999996,0.149,6.53,112.321,25559233,-4894777.032399999,0,0,chunk_037.csv
2022-03-14,ca,367,5839,6.418599999999999,27.374560520000006,11.742999999999986,10.295,344.96400000000017,1187331,44180.41530000001,0,0,chunk_037.csv
2022-03-14,ckb,5,2,-0.1027,0.010547289999999999,0.108,0.12,4.772,2970263,-9.243,0,0,chunk_037.csv
2022-03-14,cs,431,3910,26.18089999999999,46.33231463000001,18.026,8.602,404.36899999999997,1389757,110687.50749999999,0,0,chunk_037.csv
2022-03-14,cy,73,1537,4.8895,10.752758429999995,6.3439999999999985,4.006,62.648,143970,17253.329699999995,0,0,chunk_037.csv
2022-03-14,da,388,2747,-26.183899999999998,35.62705909000001,7.507000000000004,21.315999999999992,359.1789999999999,1327589,11816.370700000012,0,0,chunk_037.csv
2022-03-14,de,16271,1881129,-7177.579900000497,5934.683102510239,166.76599999999956,1850.6949999999983,14253.516000000358,177074877,-59606299.17179988,0,0,chunk_037.csv
2022-03-14,el,593,7253,7.616000000000008,22.983677359999994,7.286,5.516,580.197,4396436,44449.057600000044,0,0,chunk_037.csv
2022-03-14,en,282420,316359944,-19257.57699998891,91505.10182739174,27461.79899998797,29738.662999997472,225216.04000006893,3365935439,-444685584.8432895,0,0,chunk_037.csv
2022-03-14,es,11254,1107701,-466.52860000000055,969.2705807600062,197.83900000000094,325.95399999999864,10730.154999999973,116273882,-2709134.9652000032,0,0,chunk_037.csv
2022-03-14,et,651,3955,6.133800000000016,73.18973203999992,33.58299999999997,31.752999999999986,585.6639999999993,9304981,-4348587.437199996,0,0,chunk_037.csv
2022-03-14,eu,62,28,6.5222999999999995,5.69151823,4.0409999999999995,1.299,56.66,115253,26250.5653,0,0,chunk_037.csv
2022-03-14,fa,368,4596,0.28950000000000087,18.14678363,3.134,3.9579999999999997,360.89899999999994,1806254,-35805.9607,0,0,chunk_037.csv
2022-03-14,fi,1601,59213,-88.15100000000021,68.55921607999993,8.533000000000003,42.97100000000009,1549.4959999999942,3358200,-334577.52889999986,0,0,chunk_037.csv
2022-03-14,fr,24168,14614954,-1739.750199999875,1781.5913736999814,326.59500000000116,770.4259999999708,23070.325000001045,291162135,-2199386.1165999994,0,0,chunk_037.csv
2022-03-14,gu,90,71,-8.3628,5.6195021800000005,0.0,2.282,87.718,19201333,-2930788.2892000005,0,0,chunk_037.csv
