date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-02-24,am,7,7,0.8271,0.6840944099999999,0.334,0.167,6.499,309137,18554.3343,0,0,chunk_035.csv
2022-02-24,ar,2577,30919,13.929299999999996,58.61689981000001,19.237000000000005,18.056999999999995,2539.707999999998,210845571,-1128803.3515999992,0,0,chunk_035.csv
2022-02-24,bg,10,17,-1.3711,0.94486801,0.0,0.304,9.696,7773,-1246.8397,0,0,chunk_035.csv
2022-02-24,bn,61,15,-6.993800000000001,6.507657019999997,1.024,2.6510000000000002,57.325,9399262,-2179657.5561,0,0,chunk_035.csv
2022-02-24,ca,289,8392,-10.0647,25.914061850000024,6.590999999999997,12.165,270.243,1209697,37912.485100000005,0,0,chunk_035.csv
2022-02-24,ckb,9,2,0.0,0.0,0.0,0.0,9.0,1009917,0.0,0,0,chunk_035.csv
2022-02-24,cs,145,2454,-11.376199999999995,18.304360640000002,3.442,8.797000000000004,132.76399999999995,495330,2845.2344999999996,0,0,chunk_035.csv
2022-02-24,cy,22,41,-3.7569,2.8878012899999996,0.27,1.76,19.97,14498,-2518.0965,0,0,chunk_035.csv
2022-02-24,da,199,2871,-12.505499999999996,9.859239829999998,1.4819999999999998,8.356,189.16299999999998,435776,-18706.462199999998,0,0,chunk_035.csv
2022-02-24,de,13025,1571191,-5160.290300000196,4117.795277749868,130.47600000000023,1426.0180000000023,11468.484000000126,79084527,-36668787.702599935,0,0,chunk_035.csv
2022-02-24,dv,4,51,-1.438,0.516961,0.0,0.568,3.432,9613,-3455.8735,0,0,chunk_035.csv
2022-02-24,el,564,14320,-13.560199999999982,35.467501899999974,8.386000000000001,13.673999999999989,541.9379999999996,5026315,-245489.48140000008,0,0,chunk_035.csv
2022-02-24,en,146675,116413430,-15790.767199999702,37677.63700771671,11818.16400000022,16371.11200000033,118483.27900000405,1204585691,-166969715.48699751,0,0,chunk_035.csv
2022-02-24,es,23226,36766686,-2714.894700000076,2457.4781407899204,299.3129999999981,914.4970000000069,22012.061999999576,135044516,-4067171.0071999985,0,0,chunk_035.csv
2022-02-24,et,202,21375,6.7518,22.453051319999997,10.133999999999999,7.284000000000001,184.58600000000007,317276,-17080.6346,0,0,chunk_035.csv
2022-02-24,eu,20,94,0.8016000000000001,0.32441760000000003,0.29500000000000004,0.08,19.624000000000002,23433,182.7144,0,0,chunk_035.csv
2022-02-24,fa,328,1436,2.5308999999999995,9.727107230000001,4.135999999999999,3.7470000000000003,320.11600000000004,3449578,13949.724699999999,0,0,chunk_035.csv
2022-02-24,fi,590,26500,-1.6038000000000032,23.396842000000007,6.2730000000000015,7.647999999999999,576.078,1351570,-30620.582100000014,0,0,chunk_035.csv
2022-02-24,fr,31422,24523791,-1086.9233000000236,1365.953789510014,275.05899999999974,628.6349999999934,30518.36699999972,107297070,-60659.34939999982,0,0,chunk_035.csv
2022-02-24,gu,106,899,1.6625999999999994,5.019523500000002,1.9369999999999998,1.368,102.69599999999997,8723093,11213.237899999998,0,0,chunk_035.csv
2022-02-24,hi,5414,1300726,-58.18300000000041,202.5596051600005,40.75399999999997,60.100000000000044,5313.131000000004,875160382,-67353561.16049996,0,0,chunk_035.csv
2022-02-24,ht,50,146,0.7206999999999992,7.80523241,3.5260000000000002,4.352,42.12100000000001,77785,-2195.3756000000008,0,0,chunk_035.csv
2022-02-24,hu,15,21,0.9671,0.47136504999999995,0.345,0.0,14.655000000000001,39393,9527.298499999999,0,0,chunk_035.csv
2022-02-24,hy,4,2,0.0772,0.005959840000000001,0.048,0.0,3.952,1379,106.15,0,0,chunk_035.csv
2022-02-24,in,751,2870581,-25.890600000000006,60.63803239999995,15.735000000000003,29.261999999999993,706.001,11044630,8238.663000000006,0,0,chunk_035.csv
2022-02-24,is,2,0,-0.25,0.0625,0.273,0.403,1.325,5334,-1323.0,0,0,chunk_035.csv
2022-02-24,it,9159,950855,474.3698999999886,474.47927402999574,232.06300000000078,123.07600000000015,8803.903999999979,62877421,2778342.6879000054,0,0,chunk_035.csv
2022-02-24,iw,59,113,-1.1607999999999998,0.9264357000000001,0.167,0.492,58.341,200735,641.2850000000001,0,0,chunk_035.csv
2022-02-24,ja,1217,357413,-20.48959999999999,38.17477857999997,11.032999999999998,23.41199999999998,1182.552,3050990,-159004.8265999999,0,0,chunk_035.csv
2022-02-24,ka,6,1,0.0,0.0,0.0,0.0,6.0,19497,0.0,0,0,chunk_035.csv
2022-02-24,km,1,3,0.0,0.0,0.0,0.0,1.0,1360,0.0,0,0,chunk_035.csv
2022-02-24,kn,45,94,0.20069999999999988,2.15176581,0.44599999999999995,0.646,43.908,3516251,-203777.2926,0,0,chunk_035.csv
2022-02-24,ko,51,7150,19.51540000000001,14.31595148,4.200000000000003,0.403,46.39700000000003,26965,4157.130799999999,0,0,chunk_035.csv
2022-02-24,lt,23,163,0.6459999999999996,2.06413822,1.272,1.0230000000000001,20.704999999999995,19627,2799.0006,0,0,chunk_035.csv
2022-02-24,lv,26,356,-0.8094999999999998,1.4584476499999999,0.787,0.389,24.823999999999998,54967,70.22650000000002,0,0,chunk_035.csv
2022-02-24,ml,56,44,-3.7777000000000007,4.756340390000001,0.494,2.2279999999999998,53.27800000000001,3390365,-361902.9602,0,0,chunk_035.csv
2022-02-24,mr,106,376,-15.218499999999999,16.03718829,1.1320000000000001,6.410000000000001,98.45799999999996,18168547,-5825609.006899999,0,0,chunk_035.csv
2022-02-24,my,6,104,1.7000000000000002,0.5780000000000001,0.535,0.0,5.465,207,68.34,0,0,chunk_035.csv
2022-02-24,ne,43,12772,-0.5994,0.3592803600000001,0.0,0.218,42.782,28631975,-1.7982,0,0,chunk_035.csv
2022-02-24,nl,1010,44952,-141.59210000000033,147.48064037000037,15.765000000000008,55.66299999999993,938.5739999999997,1686244,-190606.56319999995,0,0,chunk_035.csv
2022-02-24,no,73,1059,-2.2978,2.3092681,0.308,1.462,71.23,114544,-1535.9406000000001,0,0,chunk_035.csv
2022-02-24,or,29,84,-1.1853,0.70255917,0.073,0.351,28.575,1523422,-333.8037,0,0,chunk_035.csv
2022-02-24,pa,25,33,-2.5419000000000005,2.7819624099999998,0.435,1.0499999999999998,23.515,424653,-85143.2556,0,0,chunk_035.csv
2022-02-24,pl,2910,941570,-138.39549999999994,184.80711411000092,58.535999999999895,76.54799999999997,2774.91699999999,8916712,-239118.79680000024,0,0,chunk_035.csv
2022-02-24,ps,45,141,0.1653,1.5870061100000004,0.498,0.588,43.914,2198426,610.9701,0,0,chunk_035.csv
2022-02-24,pt,3200,1406881,-109.1574000000005,162.61697335999986,27.10400000000003,71.93100000000013,3100.9609999999975,44412501,-3641111.1800000016,0,0,chunk_035.csv
2022-02-24,ro,226,7043,-27.10790000000002,28.03907331000001,4.254999999999999,16.200999999999993,205.5429999999999,943390,-36897.7623,0,0,chunk_035.csv
2022-02-24,ru,1204,218404,-10.55719999999996,51.08634624000001,10.203000000000003,15.987,1177.8119999999994,999185,-39690.452900000004,0,0,chunk_035.csv
2022-02-24,sd,6,3,0.0,0.0,0.0,0.0,6.0,4207,0.0,0,0,chunk_035.csv
2022-02-24,si,3,0,-0.7579,0.57441241,0.07,0.326,2.605,9343,-235.70690000000002,0,0,chunk_035.csv
2022-02-24,sl,42,1263,3.1367000000000003,2.9405632500000003,1.373,0.236,40.391,138274,1887.8181,0,0,chunk_035.csv
2022-02-24,sr,16,10,0.44249999999999995,0.44962473000000003,0.36,0.21800000000000003,15.421999999999999,8887,-440.0448,0,0,chunk_035.csv
2022-02-24,sv,150,1385,-12.554699999999997,11.564873209999998,1.4929999999999999,9.027000000000003,139.48000000000002,194782,-4162.604200000003,0,0,chunk_035.csv
2022-02-24,ta,883,16950,-63.07980000000004,47.58051484000004,1.2429999999999999,22.013000000000027,859.7450000000001,88382654,-4899532.9285,0,0,chunk_035.csv
2022-02-24,te,80,2096,-6.240100000000001,5.6977690700000005,0.337,2.496,77.167,510894,-69029.70010000002,0,0,chunk_035.csv
2022-02-24,th,27247,298662485,-243.6971,386.787218970001,153.33900000000017,258.07399999999984,26835.588000000047,26196590,-84882.54709999997,0,0,chunk_035.csv
2022-02-24,tl,131,1459,1.3551999999999986,16.25198862,8.397,8.069,114.53399999999999,1547805,16595.8796,0,0,chunk_035.csv
2022-02-24,tr,14918,1910441,55.80879999999978,326.1594925800008,107.48799999999994,98.77600000000012,14711.740999999984,84925135,284396.4637999999,0,0,chunk_035.csv
2022-02-24,uk,720,568810,-83.59180000000005,85.43955145999986,7.417000000000002,28.448999999999995,684.1349999999995,890350,-135845.73269999993,0,0,chunk_035.csv
2022-02-24,und,7783,228715,-30.095000000000294,477.73264156000164,236.02899999999974,242.11800000000025,7304.836000000004,36790628,-1088626.6229000012,0,0,chunk_035.csv
2022-02-24,ur,584,5619,9.7279,31.718707469999973,9.436000000000005,8.13,566.432,46859083,-1912407.8521000007,0,0,chunk_035.csv
2022-02-24,vi,21,46,-2.2415000000000003,1.4614886500000004,0.123,1.181,19.697,8035,31.2517,0,0,chunk_035.csv
2022-02-24,zh,224,5625,-18.686499999999995,16.643780050000004,1.319,9.982000000000001,212.70099999999994,5527669,-57861.77909999999,0,0,chunk_035.csv
2022-02-25,am,25,164,4.162799999999999,3.9017309399999998,1.7670000000000003,0.9600000000000001,22.273000000000003,552088,3839.7140999999992,0,0,chunk_035.csv
2022-02-25,ar,3015,39888,10.714900000000018,61.39817175,19.29700000000001,19.308999999999987,2976.398,296656138,-1097039.4456,0,0,chunk_035.csv
2022-02-25,bg,10,30,0.0,0.0,0.0,0.0,10.0,5004,0.0,0,0,chunk_035.csv
2022-02-25,bn,132,153,-14.184399999999993,10.067738599999995,0.589,5.036999999999999,126.37400000000002,23650949,-3665777.2076999997,0,0,chunk_035.csv
2022-02-25,ca,239,4795,-8.523399999999999,20.284833360000004,6.760000000000002,10.351999999999997,221.88599999999985,705860,-10061.12559999999,0,0,chunk_035.csv
2022-02-25,ckb,13,3,0.0,0.0,0.0,0.0,13.0,1178991,0.0,0,0,chunk_035.csv
2022-02-25,cs,204,5819,4.610100000000001,25.334773190000014,9.159,8.629999999999995,186.21099999999984,604146,-30654.011399999992,0,0,chunk_035.csv
2022-02-25,cy,67,2558,5.5838,2.12062084,2.963999999999999,0.062,63.974000000000004,640130,95474.1218,0,0,chunk_035.csv
2022-02-25,da,200,2286,-21.233099999999997,18.36418753000001,3.8720000000000008,16.149000000000004,179.9790000000001,505304,-65952.84709999997,0,0,chunk_035.csv
2022-02-25,de,14408,2013318,-5554.964400000323,4511.387629760008,159.6000000000001,1511.4869999999794,12736.85399999984,78961352,-33449103.21160011,0,0,chunk_035.csv
2022-02-25,el,646,17311,2.8107999999999995,12.961152260000004,4.4879999999999995,4.598,636.9150000000002,4844406,118360.942,0,0,chunk_035.csv
2022-02-25,en,242995,834368111,-10739.680799997755,62362.98733170103,21319.53000000175,24961.437999992457,196712.64600001296,1956909806,-214037731.69620362,0,0,chunk_035.csv
2022-02-25,es,19396,16719605,-1622.7711000000359,1939.37109409005,363.0499999999997,745.9560000000055,18287.053000000127,103108649,-4894920.617200033,0,0,chunk_035.csv
2022-02-25,et,303,8344,-30.140199999999975,36.211116899999986,10.813000000000008,26.046000000000014,266.1390000000002,2435218,-5803.222399999976,0,0,chunk_035.csv
2022-02-25,eu,19,241,-1.2277,1.85805245,0.484,1.138,17.378,27010,947.7171,0,0,chunk_035.csv
2022-02-25,fa,622,9896,14.2322,19.0359834,7.611000000000001,4.389,609.9999999999999,2185670,39613.87070000001,0,0,chunk_035.csv
2022-02-25,fi,443,15195,-11.286799999999973,21.752658340000007,4.731,16.138999999999992,422.12899999999996,1594799,644608.9994,0,0,chunk_035.csv
2022-02-25,fr,23766,15281530,-407.88479999999066,1241.2621942999924,330.8710000000043,421.1839999999965,23014.024000000314,156388014,-831702.7840000022,0,0,chunk_035.csv
2022-02-25,gu,198,773,-4.585800000000001,10.59170086,2.0,4.056,191.94399999999996,23152091,-1689778.4676,0,0,chunk_035.csv
2022-02-25,hi,10370,6489436,13.934899999999594,418.38345685000303,104.58099999999973,114.97000000000001,10150.42999999999,889230695,-42880010.31410011,0,0,chunk_035.csv
2022-02-25,ht,81,417,-3.3524000000000003,6.340312900000002,1.895,4.353999999999999,74.75399999999999,356397,-33724.929199999984,0,0,chunk_035.csv
2022-02-25,hu,26,124,3.1773000000000002,1.95020041,0.9590000000000001,0.0,25.041,38040,3362.849,0,0,chunk_035.csv
2022-02-25,hy,4,1,0.0,0.0,0.0,0.0,4.0,2644,0.0,0,0,chunk_035.csv
2022-02-25,in,904,165516,-18.310199999999988,83.16025965999997,22.979000000000017,35.08699999999999,845.9279999999999,28183823,-194430.23319999996,0,0,chunk_035.csv
2022-02-25,is,5,14,0.8271,0.6840944099999999,0.372,0.0,4.628,6960,201.8124,0,0,chunk_035.csv
