date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2022-04-22,am,102,2602,27.5543,24.30610577,12.232000000000001,0.23099999999999998,89.53700000000002,566741,58494.683699999994,0,0,chunk_026.csv
2022-04-22,ar,862,18414,45.80339999999995,34.723326119999996,9.600999999999999,1.933,850.4719999999999,26597204,150883.82189999995,0,0,chunk_026.csv
2022-04-22,bg,53,5,-0.09929999999999994,0.73701379,0.337,0.245,52.418,29108,-150.5028,0,0,chunk_026.csv
2022-04-22,bn,64,24,-5.931500000000001,3.3027942699999997,0.0,1.9400000000000004,62.06,20736844,-4486753.2557,0,0,chunk_026.csv
2022-04-22,ca,261,1117,-5.951299999999998,17.57526486999999,4.399999999999999,8.17,248.42900000000006,4295035,-141697.2057,0,0,chunk_026.csv
2022-04-22,ckb,6,2,0.0,0.0,0.0,0.0,6.0,5052440,0.0,0,0,chunk_026.csv
2022-04-22,cs,374,14396,10.73110000000001,39.868723209999985,12.296999999999997,12.735000000000005,348.966,1058895,-56954.47,0,0,chunk_026.csv
2022-04-22,cy,26,625,-2.5231,2.2225807300000007,0.772,1.7130000000000003,23.515,90450,-1121.7357999999992,0,0,chunk_026.csv
2022-04-22,da,884,241219,-18.403,18.456348680000005,2.6480000000000006,11.270999999999999,870.0799999999999,2434094,-42486.20840000003,0,0,chunk_026.csv
2022-04-22,de,24513,2371969,-10531.189399999337,8511.142893600902,163.02799999999945,2781.2799999999515,21568.66099999968,223608645,-75064468.0328,0,0,chunk_026.csv
2022-04-22,el,853,12165,38.21859999999997,34.58185311999997,11.475999999999999,6.696000000000004,834.8279999999997,5584242,449547.01469999994,0,0,chunk_026.csv
2022-04-22,en,240164,67820074,-27644.603100000222,80798.95165494701,20516.22199999572,25359.037999999666,194290.00600000884,2348751191,-412799473.4589196,0,0,chunk_026.csv
2022-04-22,es,8462,485796,-286.96639999999894,545.8170647200044,96.02900000000027,166.0950000000001,8199.86999999998,111888899,-2615823.5813000053,0,0,chunk_026.csv
2022-04-22,et,170,1150,4.797200000000001,17.571483399999995,5.819000000000001,3.6250000000000018,160.55699999999996,1779014,6718.910299999997,0,0,chunk_026.csv
2022-04-22,eu,77,109,1.3293,0.9563666900000001,0.606,0.0,76.394,61363,2386.3160000000003,0,0,chunk_026.csv
