date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2023-03-11,ar,177,380,6.517300000000001,8.291485230000003,2.5340000000000003,1.036,173.42999999999998,2051695,33867.952900000004,1,0,chunk_017.csv
2023-03-11,bg,55,5186,1.3900000000000001,1.07763088,0.694,0.0,54.306,186234,16595.445200000002,1,0,chunk_017.csv
2023-03-11,bn,43,6,-2.6635,1.8772545700000003,0.0,1.008,41.992,1741558,-1514.3277,1,0,chunk_017.csv
2023-03-11,ca,233,7989,1.1696000000000002,18.30537642,4.496999999999999,6.164000000000001,222.3399999999999,500525,28297.180299999996,1,0,chunk_017.csv
2023-03-11,cs,194,3954,-0.5081999999999998,6.093064680000002,1.341,2.1590000000000003,190.50000000000003,380486,-38865.95730000002,1,0,chunk_017.csv
2023-03-11,cy,21,25,0.27249999999999963,3.7337404100000002,1.3770000000000002,0.9199999999999999,18.703000000000003,58499,17050.1119,1,0,chunk_017.csv
2023-03-11,da,89,212,-14.724999999999996,11.85747798,1.7170000000000003,9.036999999999999,78.24699999999997,4101650,-11139.960000000005,1,0,chunk_017.csv
2023-03-11,de,5819,228845,-2349.175800000002,2133.6941355799545,97.80999999999986,659.5940000000028,5061.596000000017,33017152,-12264824.67159995,1,0,chunk_017.csv
2023-03-11,dv,3,17,0.0,0.0,0.0,0.0,3.0,9114,0.0,1,0,chunk_017.csv
2023-03-11,el,285,1394,3.9531999999999994,16.823133559999995,4.156999999999999,3.122,277.72100000000006,908638,87875.02140000001,1,0,chunk_017.csv
2023-03-11,en,67837,6837791,-6044.561400000479,20508.807339862025,5450.073000000117,6934.96099999995,55451.50000000158,574843157,-11893221.572299968,1,0,chunk_017.csv
2023-03-11,es,6320,500825,-231.99519999999836,441.7332904600045,82.24200000000008,135.59099999999987,6102.160000000032,122407438,-139570.0107000001,1,0,chunk_017.csv
2023-03-11,et,210,21460,-6.958200000000001,8.73144272,1.079,3.8030000000000004,205.118,337873,7823.058500000001,1,0,chunk_017.csv
2023-03-11,eu,53,83,-0.30340000000000006,0.44689636000000005,0.423,0.17,52.407,17098,234.7206,1,0,chunk_017.csv
2023-03-11,fa,56,592,-3.1250000000000004,1.8127858000000003,0.054,0.4750000000000001,55.471000000000004,111203,-790.047,1,0,chunk_017.csv
2023-03-11,fi,350,4984,-23.30350000000002,22.26838302999999,3.8520000000000003,12.881999999999994,333.2660000000001,1202135,-13783.138100000006,1,0,chunk_017.csv
2023-03-11,fr,9261,825660,-2.2370000000000205,681.9544319600034,159.00800000000172,180.90400000000054,8921.091000000108,29568371,1473844.9587000005,1,0,chunk_017.csv
2023-03-11,gu,38,0,-1.0133,1.1103109700000002,0.151,0.33799999999999997,37.510999999999996,2229679,-275702.67230000003,1,0,chunk_017.csv
2023-03-11,hi,284,2158,2.480399999999998,23.31778426000001,4.313,6.249999999999997,273.4370000000001,206091062,-69930.52650000004,1,0,chunk_017.csv
