date,language,n_tweets,n_retweets,sum_compound,sum_sq_compound,sum_pos,sum_neg,sum_neu,sum_followers,sum_followers_weighted_compound,n_dropped_text,n_dropped_ts,source_file
2023-03-23,am,17,70,0.0,0.0,0.0,0.0,17.0,461192,0.0,0,0,chunk_018.csv
2023-03-23,ar,593,1696,36.43369999999998,29.814620410000007,11.879999999999999,2.2079999999999997,578.9140000000002,10198795,47293.09699999999,0,0,chunk_018.csv
2023-03-23,bg,42,5,0.5995999999999999,1.17286744,0.869,0.206,40.925,56780,964.2288,0,0,chunk_018.csv
2023-03-23,bn,66,5,-1.7319,2.1250368500000003,0.31999999999999995,1.105,64.575,4982644,82861.02759999999,0,0,chunk_018.csv
2023-03-23,ca,209,5535,8.256199999999993,22.981925800000013,6.110999999999999,6.1240000000000006,196.765,3421700,13300.820500000005,0,0,chunk_018.csv
2023-03-23,cs,148,2025,-2.3402999999999983,22.159622750000004,5.901000000000002,5.778000000000001,136.31999999999996,628659,-34843.893299999996,0,0,chunk_018.csv
2023-03-23,cy,31,9,1.7083,1.87093761,1.2799999999999998,0.779,28.941,113071,14520.850000000002,0,0,chunk_018.csv
2023-03-23,da,94,706,-9.204899999999997,10.81798641,1.276,6.068999999999999,86.65399999999998,167711,-8230.012700000003,0,0,chunk_018.csv
2023-03-23,de,7880,626516,-3521.91009999997,3058.4132172299524,89.92100000000009,998.5629999999942,6791.5180000000355,90352974,-33692406.78250013,0,0,chunk_018.csv
2023-03-23,el,394,1681,7.237600000000001,22.180419839999985,6.077999999999999,5.267999999999999,382.654,2449562,71065.52830000002,0,0,chunk_018.csv
2023-03-23,en,92989,20099079,-4505.218399999763,28205.712479480277,7790.39299999994,8859.553000002408,76338.91899999187,1214039230,-64973118.243700124,0,0,chunk_018.csv
2023-03-23,es,7614,1762540,-477.372199999995,613.9176244600189,93.56899999999946,209.89199999999906,7310.47000000005,156255747,-7153896.618300023,0,0,chunk_018.csv
2023-03-23,et,156,1675,-0.7825999999999993,14.170704540000006,4.232,5.019000000000001,146.74999999999997,249992,11568.580300000005,0,0,chunk_018.csv
2023-03-23,eu,44,0,0.0,0.0,0.0,0.0,44.0,11889,0.0,0,0,chunk_018.csv
2023-03-23,fa,123,3028,3.5534000000000003,6.43289304,3.221,1.4380000000000004,118.341,196009,9349.093899999996,0,0,chunk_018.csv
2023-03-23,fi,256,722,-8.023499999999999,16.106698009999995,3.2379999999999995,8.319,244.44199999999998,1378214,3120.653099999998,0,0,chunk_018.csv
2023-03-23,fr,16722,11389276,-1632.0810000000092,1872.070705900045,239.16800000000165,508.11700000000894,15974.617999999775,321490620,-19708677.177100066,0,0,chunk_018.csv
